timestamp,ticker,close,regime,prob_sideways,prob_trending,regime_label
2022-01-31 11:34:00,KRIDHANINF,6.8,1,1.0,0.0,Sideways
2022-01-31 11:37:00,KRIDHANINF,6.75,1,1.0,0.0,Sideways
2022-01-31 11:42:00,KRIDHANINF,6.75,0,0.00046116382072186254,0.9995388361792767,Trending
2022-01-31 11:43:00,KRIDHANINF,6.75,0,0.00013040713812111844,0.9998695928619301,Trending
2022-01-31 11:46:00,KRIDHANINF,6.75,0,0.00011443855337509736,0.9998855614466197,Trending
2022-01-31 11:50:00,KRIDHANINF,6.8,1,1.0,0.0,Sideways
2022-01-31 11:52:00,KRIDHANINF,6.8,0,0.0003682894375293613,0.9996317105624768,Trending
2022-01-31 11:53:00,KRIDHANINF,6.8,0,0.00011182704051085162,0.9998881729594938,Trending
2022-01-31 11:54:00,KRIDHANINF,6.8,0,0.00010709161314009292,0.9998929083868586,Trending
2022-01-31 11:55:00,KRIDHANINF,6.8,0,0.00010205292168481391,0.9998979470783395,Trending
2022-01-31 12:01:00,KRIDHANINF,6.75,1,1.0,0.0,Sideways
2022-01-31 12:02:00,KRIDHANINF,6.7,1,1.0,0.0,Sideways
2022-01-31 12:04:00,KRIDHANINF,6.7,0,0.0003691917955610316,0.9996308082044926,Trending
2022-01-31 12:06:00,KRIDHANINF,6.7,0,0.00011452314648867658,0.999885476853502,Trending
2022-01-31 12:08:00,KRIDHANINF,6.7,0,0.00011824067029632607,0.9998817593297307,Trending
2022-01-31 12:09:00,KRIDHANINF,6.65,1,1.0,0.0,Sideways
2022-01-31 12:10:00,KRIDHANINF,6.7,1,1.0,0.0,Sideways
2022-01-31 12:11:00,KRIDHANINF,6.7,0,0.00047185962594040447,0.9995281403740627,Trending
2022-01-31 12:12:00,KRIDHANINF,6.65,1,1.0,0.0,Sideways
2022-01-31 12:13:00,KRIDHANINF,6.7,1,1.0,0.0,Sideways
2022-01-31 12:16:00,KRIDHANINF,6.7,0,0.0005288466134637608,0.9994711533865881,Trending
2022-01-31 12:17:00,KRIDHANINF,6.65,1,1.0,0.0,Sideways
2022-01-31 12:19:00,KRIDHANINF,6.65,0,0.0004988841918450225,0.999501115808156,Trending
2022-01-31 12:24:00,KRIDHANINF,6.7,1,1.0,0.0,Sideways
2022-01-31 12:25:00,KRIDHANINF,6.8,1,1.0,0.0,Sideways
2022-01-31 12:28:00,KRIDHANINF,6.7,1,1.0,0.0,Sideways
2022-01-31 12:33:00,KRIDHANINF,6.7,0,0.00047350399208898953,0.9995264960078808,Trending
2022-01-31 12:35:00,KRIDHANINF,6.8,1,1.0,0.0,Sideways
2022-01-31 12:36:00,KRIDHANINF,6.65,1,1.0,0.0,Sideways
2022-01-31 12:38:00,KRIDHANINF,6.65,0,0.0006752970069144902,0.9993247029930852,Trending
2022-01-31 12:40:00,KRIDHANINF,6.8,1,1.0,0.0,Sideways
2022-01-31 12:42:00,KRIDHANINF,6.85,1,1.0,0.0,Sideways
2022-01-31 12:43:00,KRIDHANINF,6.85,0,0.0010535562835222614,0.9989464437164777,Trending
2022-01-31 12:49:00,KRIDHANINF,6.8,1,1.0,0.0,Sideways
2022-01-31 12:53:00,KRIDHANINF,6.65,1,1.0,0.0,Sideways
2022-01-31 13:08:00,KRIDHANINF,6.65,0,0.0009924796157934582,0.9990075203842053,Trending
2022-01-31 13:21:00,KRIDHANINF,6.65,0,0.00028824802384804583,0.9997117519761093,Trending
2022-01-31 13:22:00,KRIDHANINF,6.65,0,0.00031421248586631487,0.9996857875141361,Trending
2022-01-31 13:23:00,KRIDHANINF,6.65,0,0.0003455184670387627,0.9996544815329582,Trending
2022-01-31 13:26:00,KRIDHANINF,6.65,0,0.000307748851858283,0.9996922511481479,Trending
2022-01-31 13:27:00,KRIDHANINF,6.65,0,0.0003188648357252902,0.9996811351642743,Trending
